Module,Bug_Probability,Risk_Score,Risk_Level,Risk_Rank
Module_0,0.6938660222633916,69.39,Medium,36
Module_1,0.6119775056619612,61.2,Medium,55
Module_2,0.5424055144527558,54.24,Medium,75
Module_3,0.24480071076394752,24.48,Low,236
Module_4,0.7101175777955377,71.01,High,32
Module_5,0.2813078640504077,28.13,Low,219
Module_6,0.30127340400702374,30.13,Medium,200
Module_7,0.3624483657605061,36.24,Medium,156
Module_8,0.5941039631068619,59.41,Medium,60
Module_9,0.26227594631783324,26.23,Low,230
Module_10,0.5917124749984347,59.17,Medium,61
Module_11,0.24000980442508715,24.0,Low,237
Module_12,0.4079278255895488,40.79,Medium,128
Module_13,0.3913976689562191,39.14,Medium,138
Module_14,0.2954792952032679,29.55,Low,203
Module_15,0.5742327223801156,57.42,Medium,66
Module_16,0.6877630345804233,68.78,Medium,38
Module_17,0.29160110408835943,29.16,Low,208
Module_18,0.4197402149006951,41.97,Medium,122
Module_19,0.5988733775096581,59.89,Medium,57
Module_20,0.5821838761620367,58.22,Medium,63
Module_21,0.2747470807823974,27.47,Low,224
Module_22,0.4582565395012364,45.83,Medium,105
Module_23,0.526359043379483,52.64,Medium,81
Module_24,0.3213971115263284,32.14,Medium,185
Module_25,0.35245314734446087,35.25,Medium,164
Module_26,0.2722136177114937,27.22,Low,226
Module_27,0.45174191517243995,45.17,Medium,109
Module_28,0.49411582027443723,49.41,Medium,92
Module_29,0.3098962043868257,30.99,Medium,190
Module_30,0.3097785005784506,30.98,Medium,191
Module_31,0.33682534323268387,33.68,Medium,173
Module_32,0.3921902414950712,39.22,Medium,137
Module_33,0.9044920135626441,90.45,High,1
Module_34,0.2550026806222163,25.5,Low,233
Module_35,0.3225276162344999,32.25,Medium,183
Module_36,0.23679007070673166,23.68,Low,239
Module_37,0.40711726939343607,40.71,Medium,130
Module_38,0.7673140109080392,76.73,High,22
Module_39,0.8492135157920937,84.92,High,8
Module_40,0.564812798848328,56.48,Medium,69
Module_41,0.3199968648046328,32.0,Medium,186
Module_42,0.45647780358600326,45.65,Medium,106
Module_43,0.497767905419299,49.78,Medium,88
Module_44,0.2851744290062611,28.52,Low,214
Module_45,0.35385206474405295,35.39,Medium,162
Module_46,0.5715810450331904,57.16,Medium,68
Module_47,0.2950714899920853,29.51,Low,204
Module_48,0.2825852405188217,28.26,Low,216
Module_49,0.5308624608850849,53.09,Medium,79
Module_50,0.5110402141604884,51.1,Medium,83
Module_51,0.3572927563431595,35.73,Medium,161
Module_52,0.3398990015946942,33.99,Medium,171
Module_53,0.28438483709319873,28.44,Low,215
Module_54,0.49946938300510807,49.95,Medium,87
Module_55,0.36545140840611995,36.55,Medium,153
Module_56,0.6534097573901749,65.34,Medium,45
Module_57,0.30531616864630795,30.53,Medium,195
Module_58,0.2812294056925791,28.12,Low,220
Module_59,0.27322968306544254,27.32,Low,225
Module_60,0.3990237675837496,39.9,Medium,133
Module_61,0.48741737053801615,48.74,Medium,94
Module_62,0.6173318841676864,61.73,Medium,52
Module_63,0.5737508971287053,57.38,Medium,67
Module_64,0.3019385540261387,30.19,Medium,198
Module_65,0.35012491883146696,35.01,Medium,166
Module_66,0.8652296185185153,86.52,High,4
Module_67,0.3296245576281494,32.96,Medium,176
Module_68,0.7755410169631766,77.55,High,21
Module_69,0.2498326563907717,24.98,Low,235
Module_70,0.44482125427219654,44.48,Medium,111
Module_71,0.3607554028716368,36.08,Medium,159
Module_72,0.5840696762129365,58.41,Medium,62
Module_73,0.6976207405149198,69.76,Medium,35
Module_74,0.6557280184165569,65.57,Medium,43
Module_75,0.6715473462538655,67.15,Medium,41
Module_76,0.5616065555195554,56.16,Medium,70
Module_77,0.41937187779428636,41.94,Medium,125
Module_78,0.3599593629660433,36.0,Medium,160
Module_79,0.3866963566963859,38.67,Medium,142
Module_80,0.5986078057677081,59.86,Medium,58
Module_81,0.5117883195475292,51.18,Medium,82
Module_82,0.36103760756910114,36.1,Medium,158
Module_83,0.8091783580241423,80.92,High,16
Module_84,0.23696889253263012,23.7,Low,238
Module_85,0.3496277102751733,34.96,Medium,167
Module_86,0.6804599421884602,68.05,Medium,39
Module_87,0.7341243765653801,73.41,High,29
Module_88,0.6911720771251628,69.12,Medium,37
Module_89,0.3686834623988663,36.87,Medium,151
Module_90,0.29379991279232964,29.38,Low,205
Module_91,0.3791744852845464,37.92,Medium,145
Module_92,0.40771246480095724,40.77,Medium,129
Module_93,0.23482410706789583,23.48,Low,240
Module_94,0.8178279866275548,81.78,High,14
Module_95,0.8930988693826184,89.31,High,2
Module_96,0.2709443792142467,27.09,Low,227
Module_97,0.30758264908376487,30.76,Medium,193
Module_98,0.3372912220988075,33.73,Medium,172
Module_99,0.4640000929102214,46.4,Medium,103
Module_100,0.25543906673710887,25.54,Low,232
Module_101,0.21079498661823406,21.08,Low,242
Module_102,0.4229224418874809,42.29,Medium,120
Module_103,0.32624060313501163,32.62,Medium,180
Module_104,0.8503598704282053,85.04,High,7
Module_105,0.3971584162779178,39.72,Medium,134
Module_106,0.3140141010182524,31.4,Medium,188
Module_107,0.28197300236673467,28.2,Low,217
Module_108,0.4042273677448137,40.42,Medium,131
Module_109,0.3039107519252256,30.39,Medium,197
Module_110,0.30847240846711454,30.85,Medium,192
Module_111,0.47621340122102374,47.62,Medium,99
Module_112,0.2856824227601616,28.57,Low,212
Module_113,0.7300951805366183,73.01,High,30
Module_114,0.7344084455018133,73.44,High,28
Module_115,0.822342883451061,82.23,High,13
Module_116,0.2883952147099417,28.84,Low,209
Module_117,0.36749942335605656,36.75,Medium,152
Module_118,0.4963434577542823,49.63,Medium,91
Module_119,0.822966587200135,82.3,High,12
Module_120,0.43437102466255706,43.44,Medium,113
Module_121,0.41968257103470247,41.97,Medium,122
Module_122,0.38842635908659073,38.84,Medium,141
Module_123,0.48502165824405535,48.5,Medium,95
Module_124,0.287414220665908,28.74,Low,211
Module_125,0.8513245237278569,85.13,High,6
Module_126,0.7542907682372646,75.43,High,23
Module_127,0.3491787808627175,34.92,Medium,168
Module_128,0.42263359534089834,42.26,Medium,121
Module_129,0.3887212941683511,38.87,Medium,140
Module_130,0.40991713969885,40.99,Medium,127
Module_131,0.2270880653788272,22.71,Low,241
Module_132,0.6279207683492455,62.79,Medium,49
Module_133,0.4525817603375158,45.26,Medium,108
Module_134,0.8748975324755585,87.49,High,3
Module_135,0.27022714312708607,27.02,Low,228
Module_136,0.5580135558319723,55.8,Medium,71
Module_137,0.37975560117886237,37.98,Medium,144
Module_138,0.27772095025096116,27.77,Low,223
Module_139,0.40282830363531313,40.28,Medium,132
Module_140,0.314557856166469,31.46,Medium,187
Module_141,0.44491194675945445,44.49,Medium,110
Module_142,0.7360388693257411,73.6,High,26
Module_143,0.7932994523607625,79.33,High,18
Module_144,0.41949776797939176,41.95,Medium,124
Module_145,0.4127881949921817,41.28,Medium,126
Module_146,0.34864513328564667,34.86,Medium,169
Module_147,0.7489060983285923,74.89,High,24
Module_148,0.43338391667631265,43.34,Medium,114
Module_149,0.45567799622936256,45.57,Medium,107
Module_150,0.2499252385531839,24.99,Low,234
Module_151,0.5326467548055719,53.26,Medium,78
Module_152,0.32788915970067256,32.79,Medium,179
Module_153,0.3502534899014014,35.03,Medium,165
Module_154,0.29185286056726945,29.19,Low,207
Module_155,0.6738772129021695,67.39,Medium,40
Module_156,0.3280114824157855,32.8,Medium,178
Module_157,0.796987188387751,79.7,High,17
Module_158,0.1618803579371711,16.19,Low,243
Module_159,0.39117507929880363,39.12,Medium,139
Module_160,0.48146493204270574,48.15,Medium,96
Module_161,0.29927998280545975,29.93,Low,201
Module_162,0.37431889660520345,37.43,Medium,148
Module_163,0.5982065227475643,59.82,Medium,59
Module_164,0.5353783577765125,53.54,Medium,76
Module_165,0.3705710651626335,37.06,Medium,149
Module_166,0.669545031283207,66.95,Medium,42
Module_167,0.4291374051736036,42.91,Medium,117
Module_168,0.834027994390753,83.4,High,11
Module_169,0.6468759104371896,64.69,Medium,46
Module_170,0.3650559176083999,36.51,Medium,154
Module_171,0.32935114155410977,32.94,Medium,177
Module_172,0.4392943325786119,43.93,Medium,112
Module_173,0.5457970876699674,54.58,Medium,74
Module_174,0.3044523044708475,30.45,Medium,196
Module_175,0.5786636440632976,57.87,Medium,64
Module_176,0.278634416569825,27.86,Low,222
Module_177,0.3535786247980861,35.36,Medium,163
Module_178,0.8434015168692202,84.34,High,10
Module_179,0.3630539320083696,36.31,Medium,155
Module_180,0.2819030730375271,28.19,Low,218
Module_181,0.6256303953598027,62.56,Medium,50
Module_182,0.3312274688231169,33.12,Medium,175
Module_183,0.7777925670815484,77.78,High,20
Module_184,0.3261513893281571,32.62,Medium,180
Module_185,0.49671068373830635,49.67,Medium,90
Module_186,0.3774755967642844,37.75,Medium,146
Module_187,0.4293840000392916,42.94,Medium,116
Module_188,0.38224883667704646,38.22,Medium,143
Module_189,0.504849440560368,50.48,Medium,84
Module_190,0.4805750866915326,48.06,Medium,97
Module_191,0.36153195322425713,36.15,Medium,157
Module_192,0.3217600721628564,32.18,Medium,184
Module_193,0.6028171501539027,60.28,Medium,56
Module_194,0.2695360993915074,26.95,Low,229
Module_195,0.6549001691726785,65.49,Medium,44
Module_196,0.5761067766799012,57.61,Medium,65
Module_197,0.7258140245517061,72.58,High,31
Module_198,0.4794507267251726,47.95,Medium,98
Module_199,0.3015996492933168,30.16,Medium,199
Module_200,0.3230865816660588,32.31,Medium,182
Module_201,0.2789631087139449,27.9,Low,221
Module_202,0.5015179837368301,50.15,Medium,86
Module_203,0.6385366873376239,63.85,Medium,47
Module_204,0.8473791329843378,84.74,High,9
Module_205,0.29878906670024824,29.88,Low,202
Module_206,0.709267403133113,70.93,High,33
Module_207,0.4656931508589232,46.57,Medium,102
Module_208,0.2854431282947365,28.54,Low,213
Module_209,0.5266832653680981,52.67,Medium,80
Module_210,0.6144735431579477,61.45,Medium,54
Module_211,0.3428218904227138,34.28,Medium,170
Module_212,0.6182087246349611,61.82,Medium,51
Module_213,0.3056396903084345,30.56,Medium,194
Module_214,0.3937853121234033,39.38,Medium,136
Module_215,0.29202559606064643,29.2,Low,206
Module_216,0.3963993460081076,39.64,Medium,135
Module_217,0.310302536887014,31.03,Medium,189
Module_218,0.45884286315394407,45.88,Medium,104
Module_219,0.6300819843303019,63.01,Medium,48
Module_220,0.7002610380578186,70.03,High,34
Module_221,0.42633035117591445,42.63,Medium,118
Module_222,0.6151776895115132,61.52,Medium,53
Module_223,0.4913641110695953,49.14,Medium,93
Module_224,0.467040912708025,46.7,Medium,101
Module_225,0.7829474668849443,78.29,High,19
Module_226,0.3775376034257924,37.75,Medium,146
Module_227,0.3340582946609862,33.41,Medium,174
Module_228,0.5551320181620397,55.51,Medium,73
Module_229,0.42534731600992776,42.53,Medium,119
Module_230,0.5572329339309688,55.72,Medium,72
Module_231,0.4702653386941346,47.03,Medium,100
Module_232,0.3695348229509326,36.95,Medium,150
Module_233,0.2560692210708043,25.61,Low,231
Module_234,0.8550367296185631,85.5,High,5
Module_235,0.7359769565055139,73.6,High,26
Module_236,0.43196253696343356,43.2,Medium,115
Module_237,0.5018472776759731,50.18,Medium,85
Module_238,0.49689082471640594,49.69,Medium,89
Module_239,0.2877888925413842,28.78,Low,210
Module_240,0.736450994474829,73.65,High,25
Module_241,0.8140383515087639,81.4,High,15
Module_242,0.5342273219403988,53.42,Medium,77
